Aaron,Cynthia,G,"Court of Appeal, Fourth District"
Hansen,Ronald,W,Merced County Superior Court
Hanson,Sheila,F,Orange County Superior Court
Hara,Kenneth,J,Stanislaus County Superior Court
Harbin-Forte,Brenda,Fay,Alameda County Superior Court
Hardcastle,Allan,D,Sonoma County Superior Court
Hardie,Rebecca,C,Contra Costa County Superior Court
Hare,Patrick,Earl,Los Angeles County Superior Court
Hare,Patrick,Earl,Los Angeles County Superior Court
Harman,Dodie,A,San Luis Obispo County Superior Court
Harmon,Christopher,B,Riverside County Superior Court
Harmon,Christopher,B,Riverside County Superior Court
Harmon,Eric,P,Los Angeles County Superior Court
Harmon,Eric,P,Los Angeles County Superior Court
Harper,Caree,Annette,Los Angeles County Superior Court
Harper,Michael,B,Trinity County Superior Court
Harper,Michael,B,Trinity County Superior Court
Harrell,Arlan,L,Fresno County Superior Court
Harrell,Arlan,L,Fresno County Superior Court
Harrell III,Alvin,M,Fresno County Superior Court
Harris,Debra,None,San Bernardino County Superior Court
Harris,Matthew,S,Santa Clara County Superior Court
Harris,Matthew,S,Santa Clara County Superior Court
Harrison,Arthur,A,San Bernardino County Superior Court
Harrison,Robert,S,Los Angeles County Superior Court
Harrison,Robert,S,Los Angeles County Superior Court
Harry,Shanda,None,Lake County Superior Court
Harutunian III,Albert,T,San Diego County Superior Court
Harutunian III,Albert,T,San Diego County Superior Court
Harwin,Michael,None,Los Angeles County Superior Court
Harwin,Michael,None,Los Angeles County Superior Court
Hashimoto,Roy,None,Alameda County Superior Court
Haskins,Kevin,J,Orange County Superior Court
Haskins,Kevin,J,Orange County Superior Court
Hatchimonji,Douglas,None,Orange County Superior Court
Hawk,Robert,None,Santa Clara County Superior Court
Hawk,Robert,None,Santa Clara County Superior Court
Hawkins,James,S,Riverside County Superior Court
Hayashi,Dennis,W,Alameda County Superior Court
Hayashi,RobertaAnn,K,Santa Clara County Superior Court
Hayashi,RobertaAnn,K,Santa Clara County Superior Court
Hayes,Jonathan,None,Sacramento County Superior Court
Hayes,Jonathan,None,Sacramento County Superior Court
Hayes,Judith,F,San Diego County Superior Court
Hayes,Larry,E,Monterey County Superior Court
Hayes,William,Michael,Orange County Superior Court
Haynes,Brian,F,Contra Costa County Superior Court
Haynes,Brian,F,Contra Costa County Superior Court
Haynes,Marcelita,V,Los Angeles County Superior Court
Haynes,Marcelita,V,Los Angeles County Superior Court
Harwin,Michael,None,Los Angeles County Superior Court
Hashimoto,Roy,None,Alameda County Superior Court
Haskins,Kevin,J,Orange County Superior Court
Haskins,Kevin,J,Orange County Superior Court
Hatchimonji,Douglas,None,Orange County Superior Court
Hawk,Robert,None,Santa Clara County Superior Court
Hawk,Robert,None,Santa Clara County Superior Court
Hawkins,James,S,Riverside County Superior Court
Hayashi,Dennis,W,Alameda County Superior Court
Hayashi,RobertaAnn,K,Santa Clara County Superior Court
Healy,Daniel,J,Solano County Superior Court
Healy,Nicole,None,San Mateo County Superior Court
Healy,Timothy,S,Calaveras County Superior Court
Healy,Timothy,S,Calaveras County Superior Court
Heckman,Sarah,H,Sutter County Superior Court
Hedstrom,Stephen,O,Lake County Superior Court
Heeseman,Nicole,M,Los Angeles County Superior Court
Heeseman,Nicole,M,Los Angeles County Superior Court
Hegarty,Patrick,None,Los Angeles County Superior Court
Heidel,Sarah,None,Los Angeles County Superior Court
Heidel,Sarah,None,Los Angeles County Superior Court
Heidelberger,Candace,S,Nevada County Superior Court
Heidelberger,Candace,S,Nevada County Superior Court
Hein,Paige,None,Sonoma County Superior Court
Heithecker,Philip,H,Butte County Superior Court
Helton,Sabina,A.,Los Angeles County Superior Court
Helton,Sabina,A.,Los Angeles County Superior Court
Henderson,Richard,J,Mendocino County Superior Court
Hendrickson,Cindy,Seeley,Santa Clara County Superior Court
Hendrickson,Cindy,Seeley,Santa Clara County Superior Court
Henry,Margaret,S,Los Angeles County Superior Court
Henson,Carol,L,Orange County Superior Court
Herbert,Paul,D,Alameda County Superior Court
Herin,Scott,None,Los Angeles County Superior Court
Herin,Scott,None,Los Angeles County Superior Court
Herman,James,E,Santa Barbara County Superior Court
Hermanson,John,S,Amador County Superior Court
Hernandez,Alma,Manuela,Orange County Superior Court
Hernandez,Alma,Manuela,Orange County Superior Court
Hernandez,Esteban,None,San Diego County Superior Court
Hernandez,Helios,J,Riverside County Superior Court
Hernandez,Jorge,C,Riverside County Superior Court
Hernandez,Jorge,C,Riverside County Superior Court
Hernandez,Maria,D,Orange County Superior Court
Hernandez,Peter,A,Los Angeles County Superior Court
Hernandez,Peter,A,Los Angeles County Superior Court
Hernandez Jr.,George,C,Alameda County Superior Court
Hernandez-Stern,Benjamin,None,Los Angeles County Superior Court
Herrera,Cynthia,M,Orange County Superior Court
Herrera,Cynthia,M,Orange County Superior Court
Herriford,David,V,Los Angeles County Superior Court
Herrington,Lois,H,Contra Costa County Superior Court
Herscovitz,Martin,L,Los Angeles County Superior Court
Herscovitz,Martin,L,Los Angeles County Superior Court
Hersher,Judy,H,Sacramento County Superior Court
Hersher,Judy,H,Sacramento County Superior Court
Heryford,Eric,L,Trinity County Superior Court
Heryford,Eric,L,Trinity County Superior Court
Hess,Robert,L,Los Angeles County Superior Court
Hesseltine,David,J,Orange County Superior Court
Hesseltine,David,J,Orange County Superior Court
Hester,Kristi,Elise,Riverside County Superior Court
Hester,Kristi,Elise,Riverside County Superior Court
Herriford,David,V,Los Angeles County Superior Court
Herrington,Lois,H,Contra Costa County Superior Court
Herscovitz,Martin,L,Los Angeles County Superior Court
Herscovitz,Martin,L,Los Angeles County Superior Court
Hersher,Judy,H,Sacramento County Superior Court
Hersher,Judy,H,Sacramento County Superior Court
Heryford,Eric,L,Trinity County Superior Court
Heryford,Eric,L,Trinity County Superior Court
Hess,Robert,L,Los Angeles County Superior Court
Hesseltine,David,J,Orange County Superior Court
Higa,Robert,J,Los Angeles County Superior Court
Highberger,William,F,Los Angeles County Superior Court
Highberger,William,F,Los Angeles County Superior Court
Hilde,Janet,A,Plumas County Superior Court
Hill,Brad,R,"Court of Appeal, Fifth District"
Hill,Brian,E,Santa Barbara County Superior Court
Hill,Brian,E,Santa Barbara County Superior Court
Hill,Christina,L,Los Angeles County Superior Court
Hill,Christina,L,Los Angeles County Superior Court
Hill,Deirdre,None,Los Angeles County Superior Court
Hill,Deirdre,None,Los Angeles County Superior Court
Hill,Elizabeth,M,San Mateo County Superior Court
Hill,Elizabeth,M,San Mateo County Superior Court
"Hill, Jr.",Charlie,None,San Bernardino County Superior Court
Hillman,Bret,D,Tulare County Superior Court
Hing,Stuart,L,Alameda County Superior Court
Hinrichs,Joyce,None,Humboldt County Superior Court
Hinrichs,Joyce,None,Humboldt County Superior Court
Hinton,Barbara,C,Contra Costa County Superior Court
Hinton,Barbara,C,Contra Costa County Superior Court
Hippach,Denise,None,Santa Barbara County Superior Court
Hiramoto,Joni,None,Contra Costa County Superior Court
Hirashima,Trisha,Jade,Placer County Superior Court
Hiroshige,Ernest,M,Los Angeles County Superior Court
Hirsch,David,M,Ventura County Superior Court
Hite,Christopher,C,San Francisco County Superior Court
Hizami,David,E,Los Angeles County Superior Court
Hizami,David,E,Los Angeles County Superior Court
Hill,Deirdre,None,Los Angeles County Superior Court
Hill,Elizabeth,M,San Mateo County Superior Court
Hill,Elizabeth,M,San Mateo County Superior Court
"Hill, Jr.",Charlie,None,San Bernardino County Superior Court
Hillman,Bret,D,Tulare County Superior Court
Hing,Stuart,L,Alameda County Superior Court
Hinrichs,Joyce,None,Humboldt County Superior Court
Hinrichs,Joyce,None,Humboldt County Superior Court
Hinton,Barbara,C,Contra Costa County Superior Court
Hinton,Barbara,C,Contra Costa County Superior Court
Hobbs,Lynne,M,Los Angeles County Superior Court
Hobbs,Lynne,M,Los Angeles County Superior Court
Hoch,Andrea,L,"Court of Appeal, Third District"
Hofer,Ralph,C,Los Angeles County Superior Court
Hoff,Gary,D,Fresno County Superior Court
Hoffer,David,A,Orange County Superior Court
Hoffstadt,Brian,M,"Court of Appeal, Second District"
Hogue,Amy,D,Los Angeles County Superior Court
Holland,Lesley,D,San Joaquin County Superior Court
Hollenhorst,Thomas,E,"Court of Appeal, Fourth District"
Hollenhorst,Timothy,J,Riverside County Superior Court
Hollenhorst,Timothy,J,Riverside County Superior Court
Hollingsworth Armstrong,Donna,None,Los Angeles County Superior Court
Hollingsworth Armstrong,Donna,None,Los Angeles County Superior Court
Hollman,James,W,Tulare County Superior Court
Holly,Carter,P,San Joaquin County Superior Court
Holly,Carter,P,San Joaquin County Superior Court
Holt,Rachel,E,San Mateo County Superior Court
Holt,Rachel,E,San Mateo County Superior Court
Hom,Russell,L,Sacramento County Superior Court
Hom,Russell,L,Sacramento County Superior Court
Honer,Sherri,L,Orange County Superior Court
Honer,Sherri,L,Orange County Superior Court
Honeycutt,Alan,B,Los Angeles County Superior Court
Honeycutt,Alan,B,Los Angeles County Superior Court
Honigsberg,Christopher,M,Sonoma County Superior Court
Honigsberg,Christopher,M,Sonoma County Superior Court
Hood,Mark,E,Monterey County Superior Court
Hopp,Harold,W,Riverside County Superior Court
Hopp,Harold,W,Riverside County Superior Court
Horan,James,E,Los Angeles County Superior Court
Horan,James,E,Los Angeles County Superior Court
Horn,Frederick,None,Orange County Superior Court
"Horn, Jr.",H. Chester,None,Los Angeles County Superior Court
"Horn, Jr.",H. Chester,None,Los Angeles County Superior Court
Horner,Jeffrey,W,Alameda County Superior Court
Horst,Garen,J,Placer County Superior Court
Hosking,James,J,San Bernardino County Superior Court
House,Mary,None,Los Angeles County Superior Court
House,Mary,None,Los Angeles County Superior Court
Houska,Maureen,M,Ventura County Superior Court
Howard,Geoffrey,M,Marin County Superior Court
Howard,Theodore,R,Orange County Superior Court
Hoy,Margo,Lewis,San Diego County Superior Court
Hoy,Margo,Lewis,San Diego County Superior Court
Hoyt,Seth,R,San Joaquin County Superior Court
Hoyt,Seth,R,San Joaquin County Superior Court
Horan,James,E,Los Angeles County Superior Court
Horan,James,E,Los Angeles County Superior Court
Horn,Frederick,None,Orange County Superior Court
"Horn, Jr.",H. Chester,None,Los Angeles County Superior Court
"Horn, Jr.",H. Chester,None,Los Angeles County Superior Court
Horner,Jeffrey,W,Alameda County Superior Court
Horst,Garen,J,Placer County Superior Court
Hosking,James,J,San Bernardino County Superior Court
House,Mary,None,Los Angeles County Superior Court
House,Mary,None,Los Angeles County Superior Court
Hsu,Wesley,None,Los Angeles County Superior Court
Hsu,Wesley,None,Los Angeles County Superior Court
Huang,Peggy,Z.,Orange County Superior Court
Hubbard,Kim,R,Orange County Superior Court
Huber,Joseph,H,Santa Clara County Superior Court
Huber,Joseph,H,Santa Clara County Superior Court
Hudson,Altus,W,Los Angeles County Superior Court
Hudson,Altus,W,Los Angeles County Superior Court
Huerta,Georgia,None,Los Angeles County Superior Court
Huffman,Richard,D,"Court of Appeal, Fourth District"
Hull Jr.,Harry,E,"Court of Appeal, Third District"
Hulsey,Stephanie,E,Monterey County Superior Court
Humes,James,M,"Court of Appeal, First District"
Humphrey,Colette,M,Kern County Superior Court
Humphreys,Elizabeth,None,San Joaquin County Superior Court
Humphreys,Elizabeth,None,San Joaquin County Superior Court
Hunt,Derek,None,Orange County Superior Court
Hunter,Eleanor,J,Los Angeles County Superior Court
Hunter,Eleanor,J,Los Angeles County Superior Court
Hunter,Patricia,A.,Los Angeles County Superior Court
Hunter,Patricia,A.,Los Angeles County Superior Court
Hurst,Linda,D,San Luis Obispo County Superior Court
Hurwitz,Lon,F,Orange County Superior Court
Hutson,Cara,D,San Bernardino County Superior Court
Hutson,Cara,D,San Bernardino County Superior Court
Humes,James,M,"Court of Appeal, First District"
Humphrey,Colette,M,Kern County Superior Court
Humphreys,Elizabeth,None,San Joaquin County Superior Court
Humphreys,Elizabeth,None,San Joaquin County Superior Court
Hunt,Derek,None,Orange County Superior Court
Hunter,Eleanor,J,Los Angeles County Superior Court
Hunter,Eleanor,J,Los Angeles County Superior Court
Hunter,Patricia,A.,Los Angeles County Superior Court
Hunter,Patricia,A.,Los Angeles County Superior Court
Hurst,Linda,D,San Luis Obispo County Superior Court
Hwang,Anne,None,Los Angeles County Superior Court
Hwang,Anne,None,Los Angeles County Superior Court
Hwang,Victor,M,San Francisco County Superior Court
Hwang,Victor,M,San Francisco County Superior Court
Hymer,Allan,None,Alameda County Superior Court
Ialeggio,Michelle,None,San Diego County Superior Court
Ibarra,Audra,None,Santa Clara County Superior Court
Ibarra,Audra,None,Santa Clara County Superior Court
Ichikawa,Garry,T,Solano County Superior Court
Ide,Nathan,D,Tulare County Superior Court
Idiart,Michael,G,Fresno County Superior Court
Iglesia,Efren,N,Monterey County Superior Court
Ikeda,Dale,None,Fresno County Superior Court
Ikola,Raymond,None,"Court of Appeal, Fourth District"
Ing,John,H,Los Angeles County Superior Court
Ing,John,H,Los Angeles County Superior Court
Inumerable,Ferdinand,None,Ventura County Superior Court
Inumerable,Ferdinand,None,Ventura County Superior Court
Ipema,Tamila,E,San Diego County Superior Court
Ipema,Tamila,E,San Diego County Superior Court
Iravani-Sani,Nahal,None,Santa Clara County Superior Court
Irby,Todd,D.,Placer County Superior Court
Irion,Joan,K,"Court of Appeal, Fourth District"
Isaac,Eric,V,Riverside County Superior Court
Isger,Nicole,None,Santa Clara County Superior Court
Isger,Nicole,None,Santa Clara County Superior Court
Israels,Valli,K,Stanislaus County Superior Court
Ito,Roger,T,Los Angeles County Superior Court
Ito,Roger,T,Los Angeles County Superior Court
Iwasaki,Bruce,G,Los Angeles County Superior Court
Iwasaki,Bruce,G,Los Angeles County Superior Court
Jacke II,Hurdle,C,Los Angeles County Superior Court
Jacke II,Hurdle,C,Los Angeles County Superior Court
jackson,Jeffrey,None,San Mateo County Superior Court
Jackson,Jacqueline,C,Riverside County Superior Court
Jackson,Scott,None,Alameda County Superior Court
Jackson,Teri,L,San Francisco County Superior Court
Jackson,Teri,L,"Court of Appeal, First District"
Jacobs,Harry,L,Merced County Superior Court
Jacobs,Lillian,V,Los Angeles County Superior Court
Jacobs,Lillian,V,Los Angeles County Superior Court
Jacobs,Robert,Francis,Los Angeles County Superior Court
Jacobson,Jack,M,Stanislaus County Superior Court
Jacobson,Morris,D,Alameda County Superior Court
Jacot,Lance,Gabriel,San Joaquin County Superior Court
Jacot,Lance,Gabriel,San Joaquin County Superior Court
Jakubowski,Susan,M,San Mateo County Superior Court
Jakubowski,Susan,M,San Mateo County Superior Court
James,Tara,K,Tulare County Superior Court
Jamieson,Stephanie,L,Merced County Superior Court
Jaskol,Lisa,R,Los Angeles County Superior Court
Jaskol,Lisa,R,Los Angeles County Superior Court
Jacobs,Robert,Francis,Los Angeles County Superior Court
Jacobson,Jack,M,Stanislaus County Superior Court
Jacobson,Morris,D,Alameda County Superior Court
Jacot,Lance,Gabriel,San Joaquin County Superior Court
Jacot,Lance,Gabriel,San Joaquin County Superior Court
Jakubowski,Susan,M,San Mateo County Superior Court
Jakubowski,Susan,M,San Mateo County Superior Court
James,Tara,K,Tulare County Superior Court
Jamieson,Stephanie,L,Merced County Superior Court
Jaskol,Lisa,R,Los Angeles County Superior Court
Jefferson,Jared,Allan,Monterey County Superior Court
Jefferson,Jared,Allan,Monterey County Superior Court
Jenkins,Martin,J,"Court of Appeal, First District"
Jenkins,Martin,J,Supreme Court of California
Jensen,Lance,P,Orange County Superior Court
Jensen,Lance,P,Orange County Superior Court
Jesic,Michael,V,Los Angeles County Superior Court
Jesic,Michael,V,Los Angeles County Superior Court
Jessner,Samantha,P,Los Angeles County Superior Court
Jessop,Gerald,C,San Diego County Superior Court
Jimenez,Augustin,R.,Sacramento County Superior Court
Jimenez,Augustin,R.,Sacramento County Superior Court
Johnson,Barbara,R,Los Angeles County Superior Court
Johnson,Derek,G,Orange County Superior Court
Johnson,Derek,G,Orange County Superior Court
Johnson,Edward,J,Mariposa County Superior Court
Johnson,Elizabeth,W,Trinity County Superior Court
Johnson,Frank,J,Los Angeles County Superior Court
Johnson,Gary,M,Tulare County Superior Court
Johnson,Jeffrey,W,"Court of Appeal, Second District"
Johnson,Joann,None,Ventura County Superior Court
Johnson,Joann,None,Ventura County Superior Court
Johnson,Judy,None,Contra Costa County Superior Court
Johnson,Margaret,S,Santa Clara County Superior Court
Johnson,Mark,E,Riverside County Superior Court
Johnson,Mark,E,Riverside County Superior Court
Johnson,Michael,M,Los Angeles County Superior Court
Johnson,William,D,San Joaquin County Superior Court
Johnson,William,D,San Joaquin County Superior Court
Johnston,Gerald,G,Orange County Superior Court
Jones,Alesia,F,Solano County Superior Court
Jones,Ann,I,Los Angeles County Superior Court
Jones,Ann,I,Los Angeles County Superior Court
Jones,Barbara J.,R,"Court of Appeal, First District"
Jones,Gregory,None,Orange County Superior Court
Jones,Heather,M,Fresno County Superior Court
Jones,Jeffrey,None,Imperial County Superior Court
Jones,Jeffrey,None,Imperial County Superior Court
Jones,Joscelyn,None,Alameda County Superior Court
Jones,Kevin,Brian,Orange County Superior Court
Jones,Michael,W,Placer County Superior Court
Jones,Stephanie,G,Solano County Superior Court
Jones,Stephanie,G,Solano County Superior Court
Jones Dickson,Ursula,None,Alameda County Superior Court
Jordan,Beth,None,Marin County Superior Court
Joseph,Jeannie,M,Orange County Superior Court
Jones,Ann,I,Los Angeles County Superior Court
Jones,Barbara J.,R,"Court of Appeal, First District"
Jones,Gregory,None,Orange County Superior Court
Jones,Heather,M,Fresno County Superior Court
Jones,Jeffrey,None,Imperial County Superior Court
Jones,Jeffrey,None,Imperial County Superior Court
Jones,Joscelyn,None,Alameda County Superior Court
Jones,Kevin,Brian,Orange County Superior Court
Jones,Michael,W,Placer County Superior Court
Jones,Stephanie,G,Solano County Superior Court
Juarez,Daniel,None,Los Angeles County Superior Court
Juhas,Mark,A,Los Angeles County Superior Court
Juhas,Mark,A,Los Angeles County Superior Court
Jurado,Ray,G,Los Angeles County Superior Court
Jurado,Ray,G,Los Angeles County Superior Court
Jurkovich,Michael,J,Madera County Superior Court
Jurkovich,Michael,J,Madera County Superior Court
Kaddo,James,A,Los Angeles County Superior Court
Kahn,Harold,E,San Francisco County Superior Court
Kalemkarian,David,C,Fresno County Superior Court
Kalemkiarian,Sharon,None,San Diego County Superior Court
Kalemkiarian,Sharon,None,San Diego County Superior Court
Kalra,Upinder,S,Los Angeles County Superior Court
Kalra,Upinder,S,Los Angeles County Superior Court
Kam,Timmy,P,Solano County Superior Court
Kams,Timothy,None,Fresno County Superior Court
Kane,Stephen,J,"Court of Appeal, Fifth District"
Kaneshiro,Gale,E,San Diego County Superior Court
Kaneshiro,Gale,E,San Diego County Superior Court
Kang,Joseph,None,Orange County Superior Court
Kanter,Rebecca,S.,San Diego County Superior Court
Kanter,Rebecca,S.,San Diego County Superior Court
Kapetan,Jon,N,Fresno County Superior Court
Kapetan,Jon,N,Fresno County Superior Court
Kapetan,Kristi,C,Fresno County Superior Court
Karesh,Jonathan,E,San Mateo County Superior Court
Karesh,Jonathan,E,San Mateo County Superior Court
Karlan,Craig,D,Los Angeles County Superior Court
Karnow,Curtis E.,A,San Francisco County Superior Court
Kato,Warren,None,Los Angeles County Superior Court
Katz,Aaron,H,San Diego County Superior Court
Katz,Aaron,H,San Diego County Superior Court
Katz,Keri,G,San Diego County Superior Court
Katz,Keri,G,San Diego County Superior Court
Katz,Steven,M,Kern County Superior Court
Kauffman,Jeffrey,C,Solano County Superior Court
Kauffman,Jeffrey,C,Solano County Superior Court
Kaufman,Ira,R,Plumas County Superior Court
Kaufman,Shelley,L,Los Angeles County Superior Court
Kaus,Stephen,D,Alameda County Superior Court
Kaus,Stephen,D,Alameda County Superior Court
Kaye,Ronald,None,Los Angeles County Superior Court
Kays,Scott,None,Solano County Superior Court
Kazadi,Michelle,L,Los Angeles County Superior Court
Kazanjian,Debra,J,Fresno County Superior Court
Karlan,Craig,D,Los Angeles County Superior Court
Karnow,Curtis E.,A,San Francisco County Superior Court
Kato,Warren,None,Los Angeles County Superior Court
Katz,Aaron,H,San Diego County Superior Court
Katz,Aaron,H,San Diego County Superior Court
Katz,Keri,G,San Diego County Superior Court
Katz,Keri,G,San Diego County Superior Court
Katz,Steven,M,Kern County Superior Court
Kauffman,Jeffrey,C,Solano County Superior Court
Kauffman,Jeffrey,C,Solano County Superior Court
Kearney,Frances,A.,Placer County Superior Court
Kearney,Robert,J,San Diego County Superior Court
Kearney,Robert,J,San Diego County Superior Court
Keen,Eric,A,Riverside County Superior Court
Keen,Eric,A,Riverside County Superior Court
Keeny,Christy,V,Los Angeles County Superior Court
Keeny,Christy,V,Los Angeles County Superior Court
Keh,Winston,S,San Bernardino County Superior Court
Keilani,Nadia,None,San Diego County Superior Court
Keithley,Clare,None,Butte County Superior Court
Kelety,Julia,C,San Diego County Superior Court
Kelety,Julia,C,San Diego County Superior Court
Kellegrew,Kent,M,Ventura County Superior Court
Keller,Richard,O,Alameda County Superior Court
Kelley,Kelly,None,Los Angeles County Superior Court
Kelley,Kelly,None,Los Angeles County Superior Court
Kelley,Michael,Cornell,Los Angeles County Superior Court
Kelley,Michael,Cornell,Los Angeles County Superior Court
Kelley Jr.,James,A,Fresno County Superior Court
Kelley Jr.,James,A,Fresno County Superior Court
Kellogg,Michael,K,Los Angeles County Superior Court
Kelly,Kathleen,A,San Francisco County Superior Court
Kelly,Mary,E.,Los Angeles County Superior Court
Kelly,Mary,E.,Los Angeles County Superior Court
Kelly,Michael,M,Orange County Superior Court
Kelly,Michael,M,Orange County Superior Court
Kelly,Patricia,L,Santa Barbara County Superior Court
Kemalyan,Richard,S,Los Angeles County Superior Court
Kemalyan,Richard,S,Los Angeles County Superior Court
Kendall,Andrew,None,Kern County Superior Court
Kendig,Holly,E,Los Angeles County Superior Court
Kennedy,Daryl,E,Shasta County Superior Court
Kennedy,Daryl,E,Shasta County Superior Court
Kennedy,John,W,Contra Costa County Superior Court
Kennedy,John,W,Contra Costa County Superior Court
Kennedy,Kathleen,A,Los Angeles County Superior Court
Kenny,Michael,P,Sacramento County Superior Court
Kenny,Michael,P,Sacramento County Superior Court
Keosian,Gregory,None,Los Angeles County Superior Court
Keough,Dennis,None,Orange County Superior Court
Kerlin,Karla,D,Los Angeles County Superior Court
Kersey,Cheryl,C,San Bernardino County Superior Court
Kersey,Cheryl,C,San Bernardino County Superior Court
Kendig,Holly,E,Los Angeles County Superior Court
Kennedy,Daryl,E,Shasta County Superior Court
Kennedy,Daryl,E,Shasta County Superior Court
Kennedy,John,W,Contra Costa County Superior Court
Kennedy,John,W,Contra Costa County Superior Court
Kennedy,Kathleen,A,Los Angeles County Superior Court
Kenny,Michael,P,Sacramento County Superior Court
Kenny,Michael,P,Sacramento County Superior Court
Keosian,Gregory,None,Los Angeles County Superior Court
Keough,Dennis,None,Orange County Superior Court
Khan,Abraham,None,Los Angeles County Superior Court
Khan,Abraham,None,Los Angeles County Superior Court
Khoury,Naser,J.,Los Angeles County Superior Court
Kiefer,Elaine,M,Riverside County Superior Court
Kiel,Jay,Kirston,Riverside County Superior Court
Kiel,Jay,Kirston,Riverside County Superior Court
Kiesselbach,Charlene,P,San Francisco County Superior Court
Killefer,Gail,None,Los Angeles County Superior Court
Killefer,Gail,None,Los Angeles County Superior Court
Killoran,Lawrence,M,Humboldt County Superior Court
Killoran,Lawrence,M,Humboldt County Superior Court
Kim,Andrew,C,Los Angeles County Superior Court
Kim,Andrew,C,Los Angeles County Superior Court
Kim,Dorothy,C,Los Angeles County Superior Court
Kim,Dorothy,C,"Court of Appeal, Second District"
Kim,Esther,None,Los Angeles County Superior Court
Kim,Gia,None,Los Angeles County Superior Court
Kim,Hyun-Joon,Glenn,Contra Costa County Superior Court
Kim,Hyun-Joon,Glenn,Contra Costa County Superior Court
Kim,Lana,None,Los Angeles County Superior Court
Kim,Lana,None,Los Angeles County Superior Court
Kim,Mark,C,Los Angeles County Superior Court
Kim,Mark,C,Los Angeles County Superior Court
Kim,Michelle,C,Los Angeles County Superior Court
Kim,Michelle,C,Los Angeles County Superior Court
Kin,Curtis,A,Los Angeles County Superior Court
Kin,Curtis,A,Los Angeles County Superior Court
King,Pamela,P,San Bernardino County Superior Court
King,Richard,M,Orange County Superior Court
King,Richard,M,Orange County Superior Court
Kingsbury,Suzanne,N,El Dorado County Superior Court
Kinnicutt,Harry,S,Solano County Superior Court
Kirihara,John,D,Merced County Superior Court
Kirk,Kristi,Dawn,Riverside County Superior Court
Kirk,Kristi,Dawn,Riverside County Superior Court
Kirkman,K Michael,None,San Diego County Superior Court
Kirschner,Richard,H,Los Angeles County Superior Court
Kirschner,Richard,H,Los Angeles County Superior Court
Kirvin,Evan,P,San Diego County Superior Court
Kirvin,Evan,P,San Diego County Superior Court
Kirwan,Peter,H,Santa Clara County Superior Court
Kirwan,Peter,H,Santa Clara County Superior Court
Kitchens,Dean,None,Los Angeles County Superior Court
Kim,Michelle,C,Los Angeles County Superior Court
Kim,Michelle,C,Los Angeles County Superior Court
Kin,Curtis,A,Los Angeles County Superior Court
Kin,Curtis,A,Los Angeles County Superior Court
King,Pamela,P,San Bernardino County Superior Court
King,Richard,M,Orange County Superior Court
King,Richard,M,Orange County Superior Court
Kingsbury,Suzanne,N,El Dorado County Superior Court
Kinnicutt,Harry,S,Solano County Superior Court
Kirihara,John,D,Merced County Superior Court
Klatchko,Kira,None,Riverside County Superior Court
Kleffman,Craig,Edward,Orange County Superior Court
Kleifield,Steven,J,Los Angeles County Superior Court
Klein,Clifford,None,Los Angeles County Superior Court
Klein,Clifford,None,Los Angeles County Superior Court
Klein,Ross,M,Los Angeles County Superior Court
Kline,John,A,"Court of Appeal, First District"
Klippen,Nona,L,Santa Clara County Superior Court
Klippen,Nona,L,Santa Clara County Superior Court
Knight,Joshua,None,Riverside County Superior Court
Knight,Joshua,None,Riverside County Superior Court
Knight,Shannon,L,Los Angeles County Superior Court
Knight,Shannon,L,Los Angeles County Superior Court
Knill,Kimberly,None,Orange County Superior Court
Knill,Kimberly,None,Orange County Superior Court
Knish,Michael,A,San Bernardino County Superior Court
Knox,Robert,A,Orange County Superior Court
Knox,Robert,A,Orange County Superior Court
Kolakowski,Victoria,S,Alameda County Superior Court
Koller Durenberger,Marjorie,K,Sacramento County Superior Court
Kolpacoff,Thomas,D,Alpine County Superior Court
Koosed,Charles,J,Riverside County Superior Court
Koosed,Charles,J,Riverside County Superior Court
Korn,Renee',F,Los Angeles County Superior Court
Koyano,Keith,Takashi,Los Angeles County Superior Court
Kralik,John,J,Los Angeles County Superior Court
Kralik,John,J,Los Angeles County Superior Court
Krauel,Roger,W,San Diego County Superior Court
Krauel,Roger,W,San Diego County Superior Court
Krause,Peter,A.,"Court of Appeal, Third District"
Kreber Varipapa,Mary,None,Orange County Superior Court
Kreep,Gary,G,San Diego County Superior Court
Krieg,Laura,L,Tuolumne County Superior Court
Kriegler,Sandy,R,"Court of Appeal, Second District"
Kronlund,Barbara,None,San Joaquin County Superior Court
Kronlund,Barbara,None,San Joaquin County Superior Court
Kronstadt,Jessica,None,Los Angeles County Superior Court
Krueger,Christopher,E,Sacramento County Superior Court
Kruger,Leondra,R,Supreme Court of California
Kralik,John,J,Los Angeles County Superior Court
Kralik,John,J,Los Angeles County Superior Court
Krauel,Roger,W,San Diego County Superior Court
Krauel,Roger,W,San Diego County Superior Court
Krause,Peter,A.,"Court of Appeal, Third District"
Kreber Varipapa,Mary,None,Orange County Superior Court
Kreep,Gary,G,San Diego County Superior Court
Krieg,Laura,L,Tuolumne County Superior Court
Kriegler,Sandy,R,"Court of Appeal, Second District"
Kronlund,Barbara,None,San Joaquin County Superior Court
Kubelun,Walter,H,Riverside County Superior Court
Kuhl,Carolyn,B,Los Angeles County Superior Court
Kuhl,Carolyn,B,Los Angeles County Superior Court
Kuhnle,Thomas,E,Santa Clara County Superior Court
